country,region,eu_member,sector,asset_class,investment_eur,size_factor,cpi_score,climate_vuln,hdi,ghg_intensity,gender_factor,social_factor,dim_climate,dim_water,dim_gender,dim_social,dim_territory,dim_governance,dim_pollution,dim_innovation,idris_score,idris_band,taxonomy_eligible,taxonomy_aligned,dnsh_pass,sc_score,sfdr_article,pai_score,tcfd_physical,tcfd_transition,mifid_suitability,mifid_profile,csrd_in_scope,impact_material,financial_material
Italy,Southern Europe,True,Extractive Industry,SME Debt,11466359.18,0.8586,56,0.356,0.895,0.925,0.243,0.329,3.2,22.8,40.1,52.6,65.1,56.6,9.0,67.5,36.97,Red,False,False,False,0.0,Article 6,43.0,Low,High,2.7,Conventional (Article 6 compatible),True,True,True
Mexico,Latin America,False,Education & Skills,Project Finance,483516.17,0.5546,31,0.591,0.758,0.043,0.811,0.947,58.8,61.9,66.1,73.0,54.2,31.7,72.8,89.9,61.49,Green,False,False,False,0.0,Article 8,70.2,Medium,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Australia,Oceania,False,Food & Nutrition,Microfinance / Social Bond,35646792.96,0.9675,75,0.376,0.951,0.379,0.563,0.823,42.3,60.0,76.2,81.2,53.9,50.4,44.6,69.6,60.32,Green,False,False,False,0.0,Article 8,67.1,Low,High,5.5,ESG-integrated (MiFID Art. 8 preference),False,True,False
Australia,Oceania,False,Private Equity (diversified),Real Estate,30210.95,0.2883,75,0.323,0.951,0.47,0.536,0.648,34.6,25.4,72.3,59.1,43.4,46.8,38.9,59.8,49.55,Amber,False,False,False,0.0,Article 6,64.0,Low,High,4.0,Conventional (Article 6 compatible),False,False,False
Mexico,Latin America,False,Food & Nutrition,SME Debt,540238.62,0.5652,31,0.636,0.758,0.393,0.631,0.821,38.1,56.2,52.0,70.0,54.8,16.3,42.1,56.1,46.67,Amber,False,False,False,0.0,Article 6,55.2,Medium,High,3.7,Conventional (Article 6 compatible),False,True,False
Morocco,MENA,False,SME Finance,Project Finance,31913.93,0.2936,38,0.651,0.683,0.355,0.57,0.731,35.9,58.3,49.6,54.8,54.5,31.1,49.8,51.3,46.36,Amber,False,False,False,0.0,Article 6,57.8,High,Medium,3.6,Conventional (Article 6 compatible),False,False,False
Ethiopia,Sub-Saharan Africa,False,Financial Inclusion,Microfinance / Social Bond,2115747.73,0.6963,37,0.796,0.492,0.153,0.643,0.85,45.8,49.7,48.6,60.4,68.5,21.3,62.4,92.7,51.46,Amber,False,False,False,0.0,Article 8,62.9,High,Medium,4.6,Conventional (Article 6 compatible),False,False,False
Portugal,Southern Europe,True,Green Building / Real Estate,Green Bond,2621190.94,0.7169,62,0.343,0.866,0.125,0.566,0.553,82.2,58.0,70.6,59.3,60.7,66.0,85.8,61.4,69.47,Green,True,True,True,80.3,Article 8,73.6,Low,Medium,7.4,ESG-integrated (MiFID Art. 8 preference),False,True,True
Indonesia,Southeast Asia,False,Healthcare,Project Finance,657499.68,0.5841,34,0.671,0.705,0.201,0.648,0.913,52.9,59.1,56.4,75.8,54.1,30.2,57.2,57.6,54.92,Amber,False,False,False,0.0,Article 8,62.6,High,Medium,5.0,Conventional (Article 6 compatible),False,False,False
Bangladesh,South Asia,False,Healthcare,Real Estate,705879.19,0.5909,24,0.796,0.661,0.202,0.617,0.829,49.4,60.1,54.9,66.6,56.5,9.2,60.6,56.0,50.0,Amber,False,False,False,0.0,Article 8,57.4,High,Medium,4.5,Conventional (Article 6 compatible),False,False,False
Kenya,Sub-Saharan Africa,False,Financial Inclusion,Microfinance / Social Bond,1878.62,0.0216,36,0.648,0.601,0.185,0.661,0.869,42.4,55.6,55.3,62.8,56.6,26.3,59.6,72.9,51.36,Amber,False,False,False,0.0,Article 8,63.4,Medium,Medium,5.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Mexico,Latin America,False,Clean Transportation,Private Equity / Venture,484865.96,0.5549,31,0.555,0.758,0.32,0.423,0.759,64.8,60.1,37.6,63.6,53.3,21.5,69.6,85.0,53.08,Amber,True,True,True,62.0,Article 8,54.2,Medium,Low,5.8,ESG-integrated (MiFID Art. 8 preference),False,True,False
Peru,Latin America,False,Social Infrastructure,Private Equity / Venture,3647157.84,0.7486,40,0.615,0.762,0.113,0.692,0.94,77.3,56.5,66.6,78.2,61.6,26.5,82.9,58.5,64.19,Green,True,True,True,78.9,Article 8,67.0,Medium,Medium,6.9,ESG-integrated (MiFID Art. 8 preference),False,False,False
Ghana,Sub-Saharan Africa,False,Renewable Energy,Private Equity / Venture,8612180.01,0.8311,43,0.625,0.632,0.036,0.523,0.752,79.6,59.4,49.0,63.6,62.5,29.0,96.5,93.2,63.01,Green,True,True,True,83.1,Article 8,66.7,Medium,Low,6.8,ESG-integrated (MiFID Art. 8 preference),False,True,False
France,Western Europe,True,Food & Nutrition,Microfinance / Social Bond,292523.08,0.5063,71,0.263,0.903,0.353,0.535,0.719,46.7,60.8,73.3,64.0,58.0,69.2,50.2,63.2,61.33,Green,False,False,False,0.0,Article 8,69.0,Low,High,5.6,ESG-integrated (MiFID Art. 8 preference),False,True,False
Romania,Eastern Europe,True,Financial Inclusion,Project Finance,22850075.92,0.9248,46,0.346,0.821,0.082,0.667,0.892,64.0,63.8,73.8,84.2,63.8,59.0,64.5,94.9,70.11,Green,False,False,False,0.0,Article 8,73.1,Low,Medium,7.5,Sustainability-focused (MiFID Art. 9 preference),False,False,True
Ukraine,Eastern Europe,False,Renewable Energy,SME Debt,8462453.83,0.8294,33,0.397,0.773,0.0,0.4,0.639,86.6,59.4,37.6,56.4,53.0,27.8,91.1,91.0,59.31,Green,True,True,True,83.7,Article 8,64.5,Low,Low,6.4,ESG-integrated (MiFID Art. 8 preference),False,True,False
Poland,Eastern Europe,True,Private Equity (diversified),Green Bond,4490.05,0.1053,54,0.406,0.88,0.306,0.494,0.624,40.0,61.1,61.9,55.0,54.7,64.7,47.9,50.2,54.61,Amber,False,False,False,0.0,Article 8,65.2,Medium,High,5.0,Conventional (Article 6 compatible),False,False,False
Japan,East Asia,False,Energy Efficiency,Project Finance,2615.36,0.0534,73,0.368,0.92,0.138,0.591,0.691,75.3,62.6,76.7,58.7,43.4,63.7,89.4,81.4,69.56,Green,True,True,True,79.6,Article 8,75.4,Low,Low,7.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Green Building / Real Estate,Private Equity / Venture,73434.93,0.3736,85,0.213,0.952,0.221,0.502,0.703,74.6,60.5,83.0,65.6,52.3,73.8,79.2,57.1,71.32,Green,True,True,True,75.3,Article 8,75.4,Low,Medium,7.6,Sustainability-focused (MiFID Art. 9 preference),False,True,False
India,South Asia,False,Extractive Industry,Green Bond,398714.46,0.5361,39,0.568,0.633,0.862,0.483,0.24,4.3,19.5,43.7,23.6,61.0,40.5,5.7,59.6,29.74,Red,False,False,False,0.0,Article 6,43.5,Medium,High,2.0,Conventional (Article 6 compatible),False,True,False
Romania,Eastern Europe,True,Manufacturing (conventional),Project Finance,78047.91,0.3795,46,0.429,0.821,0.566,0.477,0.641,31.1,24.9,53.6,61.9,62.3,62.4,31.7,56.0,48.46,Amber,False,False,False,0.0,Article 6,55.8,Medium,High,3.8,Conventional (Article 6 compatible),False,True,False
Spain,Southern Europe,True,Green Building / Real Estate,Project Finance,12346.47,0.2024,60,0.418,0.905,0.263,0.567,0.702,71.8,63.8,64.3,59.9,52.3,67.4,79.8,55.0,65.45,Green,True,True,True,70.4,Article 8,69.2,Medium,Medium,7.0,ESG-integrated (MiFID Art. 8 preference),False,True,False
South Korea,East Asia,False,Social Infrastructure,Green Bond,28500793.66,0.946,63,0.316,0.929,0.103,0.615,0.873,86.3,65.5,67.9,81.8,52.5,52.2,92.2,62.0,71.59,Green,True,True,True,82.5,Article 8,74.1,Low,Medium,7.7,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Romania,Eastern Europe,True,Microfinance,Microfinance / Social Bond,5078.51,0.1171,46,0.371,0.821,0.268,0.706,0.939,48.7,65.8,69.8,69.7,59.1,47.3,54.5,50.1,58.72,Green,False,False,False,0.0,Article 8,67.3,Low,Medium,6.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Poland,Eastern Europe,True,Social Infrastructure,Private Equity / Venture,25708827.25,0.9361,54,0.283,0.88,0.015,0.691,1.0,86.9,65.0,76.6,86.1,68.1,57.7,96.4,69.2,76.95,Dark Green,True,True,True,89.9,Article 9,77.0,Low,Medium,9.2,Sustainability-focused (MiFID Art. 9 preference),True,False,True
Hungary,Eastern Europe,True,SME Finance,Microfinance / Social Bond,5339.84,0.1219,42,0.485,0.854,0.428,0.568,0.728,28.5,16.5,52.5,56.2,58.4,48.9,43.7,46.7,44.55,Amber,False,False,False,0.0,Article 6,59.0,Medium,Medium,4.5,Conventional (Article 6 compatible),False,False,False
Bangladesh,South Asia,False,Biodiversity / Nature,Microfinance / Social Bond,14210401.93,0.8792,24,0.787,0.661,0.012,0.662,0.799,84.0,54.9,51.1,65.9,61.8,16.2,96.5,63.0,60.43,Green,True,False,False,83.4,Article 8,64.4,High,Low,5.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Greece,Southern Europe,True,Food & Nutrition,Microfinance / Social Bond,1587.27,0.0054,49,0.376,0.887,0.486,0.48,0.689,23.3,20.4,58.0,55.0,55.2,55.1,42.5,48.8,45.53,Amber,False,False,False,0.0,Article 6,58.2,Low,High,3.6,Conventional (Article 6 compatible),False,True,False
